"filename", "language", "TypeScript JSX", "PostCSS", "TypeScript", "comment", "blank", "total"
"c:\Users\Tala Dabbagh\Documents\ecom-app\src\App.tsx", "TypeScript JSX", 19, 0, 0, 0, 2, 21
"c:\Users\Tala Dabbagh\Documents\ecom-app\src\components\Button.tsx", "TypeScript JSX", 41, 0, 0, 0, 7, 48
"c:\Users\Tala Dabbagh\Documents\ecom-app\src\components\ProductCard.tsx", "TypeScript JSX", 30, 0, 0, 0, 5, 35
"c:\Users\Tala Dabbagh\Documents\ecom-app\src\index.css", "PostCSS", 0, 3, 0, 0, 1, 4
"c:\Users\Tala Dabbagh\Documents\ecom-app\src\main.tsx", "TypeScript JSX", 11, 0, 0, 0, 2, 13
"c:\Users\Tala Dabbagh\Documents\ecom-app\src\pages\Cart.tsx", "TypeScript JSX", 36, 0, 0, 0, 6, 42
"c:\Users\Tala Dabbagh\Documents\ecom-app\src\pages\Checkout.tsx", "TypeScript JSX", 10, 0, 0, 0, 3, 13
"c:\Users\Tala Dabbagh\Documents\ecom-app\src\pages\Home.tsx", "TypeScript JSX", 16, 0, 0, 0, 3, 19
"c:\Users\Tala Dabbagh\Documents\ecom-app\src\pages\Products.tsx", "TypeScript JSX", 36, 0, 0, 0, 7, 43
"c:\Users\Tala Dabbagh\Documents\ecom-app\src\reducers\cartReducer.ts", "TypeScript", 0, 0, 21, 0, 4, 25
"c:\Users\Tala Dabbagh\Documents\ecom-app\src\reducers\index.ts", "TypeScript", 0, 0, 8, 2, 4, 14
"c:\Users\Tala Dabbagh\Documents\ecom-app\src\reducers\productReducer.ts", "TypeScript", 0, 0, 16, 0, 4, 20
"c:\Users\Tala Dabbagh\Documents\ecom-app\src\store.tsx", "TypeScript JSX", 10, 0, 0, 0, 5, 15
"c:\Users\Tala Dabbagh\Documents\ecom-app\src\types\types.tsx", "TypeScript JSX", 31, 0, 0, 0, 8, 39
"c:\Users\Tala Dabbagh\Documents\ecom-app\src\vite-env.d.ts", "TypeScript", 0, 0, 0, 1, 1, 2
"Total", "-", 240, 3, 45, 3, 62, 353